ID,Date,Element,Data_Value
FRM00007015,2012-08-27,TMIN,95
FRM00007015,2010-05-01,TMIN,70
FRM00007015,2009-07-31,TMIN,95
FRM00007015,2006-07-08,TMAX,230
FRM00007015,2014-02-01,TMAX,84
FRM00007015,2014-10-27,TMAX,170
FRM00007015,2015-12-25,TMAX,131
FRM00007015,2012-08-08,TMAX,200
FRM00007015,2010-05-01,TMAX,165
FRM00007015,2005-02-28,TMIN,-63
FRM00007015,2006-09-22,TMAX,234
FRM00007015,2007-08-03,TMAX,235
FRM00007015,2012-04-11,TMAX,126
FRM00007015,2011-03-12,TMAX,146
FRM00007015,2005-02-28,TMAX,5
FRM00007015,2012-08-07,TMAX,204
FRM00007015,2013-06-10,TMIN,87
FRM00007015,2013-08-28,TMIN,135
FRM00007015,2006-03-05,TMAX,51
FRM00007015,2011-03-12,TMIN,27
FRM00007015,2013-03-18,TMIN,17
FRM00007015,2010-12-09,TMAX,34
FRM00007015,2006-09-08,TMIN,116
FRM00007015,2011-06-27,TMAX,345
FRM00007015,2012-02-01,TMAX,-18
FRM00007015,2015-03-16,TMAX,123
FRM00007015,2010-12-09,TMIN,-7
FRM00007015,2012-10-26,TMAX,120
FRM00007015,2013-01-18,TMIN,-78
FRM00007015,2009-04-08,TMIN,77
FRM00007015,2014-10-18,TMAX,233
FRM00007015,2012-11-23,TMIN,60
FRM00007015,2010-01-21,TMIN,14
FRM00007015,2007-02-16,TMAX,112
FRM00007015,2005-05-22,TMIN,95
FRM00007015,2009-07-03,TMAX,293
FRM00007015,2006-09-30,TMIN,113
FRM00007015,2005-06-30,TMAX,219
FRM00007015,2015-08-09,TMAX,260
FRM00007015,2015-10-29,TMAX,122
FRM00007015,2006-09-30,TMAX,210
FRM00007015,2005-05-22,TMAX,192
FRM00007015,2015-08-09,TMIN,128
FRM00007015,2009-04-08,TMAX,130
FRM00007015,2010-04-14,TMIN,45
FRM00007015,2005-08-20,TMIN,129
FRM00007015,2007-12-16,TMIN,-33
FRM00007015,2011-03-04,TMAX,83
FRM00007015,2010-04-14,TMAX,148
FRM00007015,2006-11-13,TMIN,67
FRM00007015,2005-06-30,TMIN,148
FRM00007015,2005-06-04,TMIN,111
FRM00007015,2006-11-13,TMAX,151
FRM00007015,2014-10-18,TMIN,133
FRM00007015,2012-08-08,TMIN,144
FRM00007015,2007-02-16,TMIN,44
FRM00007015,2011-09-16,TMAX,212
FRM00007015,2006-06-14,TMAX,250
FRM00007015,2011-12-25,TMAX,105
FRM00007015,2011-12-25,TMIN,47
FRM00007015,2011-04-08,TMAX,184
FRM00007015,2007-08-25,TMIN,138
FRM00007015,2006-10-26,TMAX,212
FRM00007015,2006-08-31,TMAX,210
FRM00007015,2007-03-20,TMIN,4
FRM00007015,2007-08-03,TMIN,149
FRM00007015,2006-08-31,TMIN,116
FRM00007015,2011-03-04,TMIN,-10
FRM00007015,2014-10-27,TMIN,74
FRM00007015,2005-03-07,TMIN,6
FRM00007015,2012-04-11,TMIN,35
FRM00007015,2015-10-28,TMAX,154
FRM00007015,2011-09-16,TMIN,98
FRM00007015,2007-03-12,TMIN,29
FRM00007015,2014-12-23,TMAX,122
FRM00007015,2006-10-26,TMIN,148
FRM00007015,2013-03-19,TMAX,88
FRM00007015,2010-09-16,TMAX,175
FRM00007015,2005-08-20,TMAX,183
FRM00007015,2005-03-07,TMAX,53
FRM00007015,2009-09-25,TMIN,67
FRM00007015,2006-01-13,TMIN,10
FRM00007015,2007-03-20,TMAX,78
FRM00007015,2005-03-23,TMAX,176
FRM00007015,2013-04-07,TMIN,-32
FRM00007015,2013-04-07,TMAX,112
